name,tokenId
georgia,65467311654778117018254543741464836381192812668418998284581404518262545035659
ghana,5190652351784863549023596837471152462713491187628165317855531865741197384518
granada,47977480731173855998320431043773916288103070593637310099088546273056741301152
grecia,66184798105235846002483506423959777233293579443041338293268085775248386665629
guatemala,50758009101959611444266343318689904000333612726287199889733976401545888224302
guinea,34941094765113927590845436316454279362151629430217234087816496550999192311433
guinea-bissau,43713198962441817845119885767063584359814079967617870067138883484225722139965
guineaecuatorial,45351751678548130713678265471503600484659817228042319006173201580071379300726
guyana,110145642323526363468058556749683438718925502296512863407045928974224956153687
haití,2145814888208205077563810394512951973760334688204663534630790968002909779280
honduras,76149573875710052583175394426974225973628404877557908199793843344410894100660
hungría,84002767686287786966784828522129825946486414498152092965974280534726770485067
india,55244623590078777287562910872597778970540356213904778187935944501036962594724
indonesia,103263770221269047762618560038335720598175813688545297326190257194263212560766
iraq,68007492840493032011594013043457455546536933803805093233566007887219395745141
irlanda,42022491296723866561298179727981117981019836029351826693097903320820311773663
irán,42946571628704184953315184130165541005619905116936483828449002179932727456382
islandia,2008890941591268369809408832456200266405080991606130609362343291694411810040
islasmarshall,19718476096845642304561679488821320623202621810036344226825125141078322661350
islassalomón,21103793028286571000943394069896807456144060763808043436356518593811111724188
israel,4184985071838551582376746369912764661149882672277224010556837088291675029290
italia,107896135869735002475357440063554578807842392237447019220182359934865973797043
jamaica,36628904288458964007897169631319779279836556183570905331114966240778499854119
japón,94710532961556919221192257786532839201989999651553798914622006541944059714135
jordania,73852064967932110179529773449623322109354625519345917796321093498123270349185
kazajistán,104532234551062570348408210647011763597964198892687197067224130903446206544095
kenia,4863437642274635525793745080901702162165756044724073560650908522493118304109
kirguistán,21747745363741490787130758091731632633070314899522414436813664871054484233441
kiribati,94165568414486836815764670254400203301573622772653372203530872603984233788458
kuwait,99362332489938367097232106885068633265948443062378420508089116611813837762841
laos,20014745453521003060955269309497621338400199994916332719070060323382193711647
lesoto,35318008637748136152783216130325385334221089097464397813812159584849875179711
letonia,66268332926126332298135363492213333154749914628876606725315367379793418166851
liberia,110362292273067666527253994583742809220468414872703970103881396088628077474686
libia,100284291440454005766880464185741039246993606373392212162766175596480908842102
liechtenstein,49775254282821898085748416509662962303190861488979480567312511084010106783863
lituania,9330423405909961916231347052370001168878213241765644290483845770512601820259
luxemburgo,44110380573651992992810720140436551337624075754358560580508526816157644558342
líbano,77140189439914130061297050062571764560535028636739067083430899671092510478138
macedonia,112200229644522924341418696866156408579042654716922906831241559325770714393133
madagascar,24964711252911344806646633757831140787889492066993017847364379007026357585476
malasia,47137661503293829401266753983133696864528547008679846603948648266007628284741
malaui,4312281007455918366162825285313219433732664428589097236506229197576518905518
maldivas,108953058817082448545583987105509049276490264143100074015301679218506988763208
mali,95871097953495200509468579147576829559428221060240497681770150680456081066971
malta,52465090389301904641096817287834858307493550208680556751653169558194900519945
marruecos,30525395025689869687102157160004170099681643815261487790713392474887127079178
mauricio,29118632498306874911641204090263632005706317807008901198176372756001018905527
mauritania,25917959510435068716370524224476226543723316690082779496845990342438857560813
micronesia,114934778849097849982833250984354602058309219368664385757497642263543015402232
moldavia,8697204291432415903934763247055571053648704705243340081133986536977991361766
mongolia,20141750660503831520935366732030901169901528225540937922871620238487570298916
montenegro,61052720934260966591322776457429189217322150006665760393845642814400589461261
mozambique,89806332796573796594997013766819964852863480713029115055706847252024134853924
méxico,40402314054767963204187725549575827495101277152449104191795042107258616948245
mónaco,27984301282734712675647975353461681879425319616785316227087306371043730432855
namibia,54854971360116927797845196265954443316933136503622408993845665322680467488402
nauru,98178769556942353964396670666192619568780908541407176687208304768580336100473
nepal,108436319032689489876403595272555333277610246323773053063898349265096947420235
nicaragua,88826172116446600021938118479779509266522504726645665768007258534601843476323
nigeria,14685492208174453353302968343594190255383828690997433416802586163202856405169
noruega,78793063098438085358639458258583470315053359073094504441161699420214374137487
nuevazelanda,38144811355636413989516224369550117002137710407933180148878915794712670630302
níger,66344292291607034802659263414580489825609035580122777134682426973907130411230
omán,52188336135798633241061023512843481328036868520723421810801413486750740947362
pakistán,91201316074687480029648834991966242495452290107760960618936772497546731544871
palaos,45893566691636359315145273164152766396335376410978991219632011332886942526253
panamá,76683636917782927421045608468298038490787569668259235960938633489980493280311
papúanuevaguinea,37809698450612942220862796754387210473160904739041100869729143070183621197856
paraguay,12623304983585140130314931939891788968848829709451972550768705584898953721995
paísesbajos,101665937317918156437204796753401702203479554724716206332293890097965811601038
perú,20460931115164930706654159364787459897174861372297318972109938845541763103659
polonia,34623225598407683135069816404015988055489437744443284692931237072423320815421
portugal,98610290704054500317929371152402494616521865663221055679575823584977497460549
qatar,18310224946492672716519092882910445896165678316195182068305206561553465441337
reinounido,97995463100484955087321398659040180802609268087825765729986794671154340216424
repúblicacentroafricana,3081211563239508291733440239332663319892123962629912750989202866170087951028
repúblicacheca,85134040725594770525218617810680460839765627323999640554104394549568285389126
repúblicademocráticadelcongo,113200280689592270318801535055109430576431188071233165484281467895065238527801
repúblicadominicana,113878861758127991351561933162808196102957909691435462714782153645946337667920
ruanda,2850178326177131039134116215040290721289463278882091434723659075790177076196
rumanía,46204534060963910755596202939816445632504615062383842568983559332787585828569
rusia,65582056957165188270850226293469949059942687017211285572402470200059663857542
samoa,29990593542333396948333709314340041151680844560261360250241009327512575556666
san,87283126601008082244128049360253434248643761712035458937791639513363390223218
sanmarino,40580459966388655248737661768460259987401242866733113556156644387618713938903
santalucía,40353537104735673887872209600060315447476011859628425871832554527651090524296
santotoméypríncipe,19332920988100445484921396875654349673295195603318429203195113284486036549225
sanvicenteylasgranadinas,48683496805993191350831692814690509350741711881659629745736601348843102060293
senegal,51638343254595159774677649155672422825952948042281741386782604318454447075464
serbia,115762317386191238285999413743414176530151950865469358775632557137614705783735
seychelles,51291042912003816258999232658723777532608834550221036252570655994606210349621
sierraleona,108200272267842862273013158582381461911213218085624864685277182643754452974210
singapur,110804243062754503010068895817258833149681142270830315234182180009718681275880
siria,52233118069231435810353468686434788438411368910315615606749770827296299849518
somalia,57008771951622409402565074203429272394095898177988497611891217673462111374722
srilanka,111660255647893949934353609202704749929982091862609321758764912141416592203936
suazilandia,101776255847669774389753130993269993401062917330245236861787695847821730235741
sudáfrica,51108452106878230894674603279579566661290543610507567906046397374950723456938
sudán,95889237084182431478276615753666157291314203362055874014848831504421353345403
sudándelsur,59954463947098271327379804192559897015592554377027925094597485152076901298193
suecia,106526645185747560089870843195136092236765551124154218690921952735572545949519
suiza,25068812562710362114289793594421506600058008017612155519869383522501594898244
surinam,79404271581619323908774143774266240832900046120791551176412737107589095578792
tailandia,14204752679942808327743464157576967776467939330631676769106671873578345897821
tanzania,37037196783272734077116960925099843567624358133112158082980391271165895524164
tayikistán,106451162782729999441332949222920128970862846755988251150014450409689416485195
timororiental,101584788482123268524139635784509221339175159777214132980989938888333118004350
togo,71226541848828579140244567477907114167349736023909285409849971267787586136144
tonga,44072394466231741459099750548392589798972748527696423365992121835642781649276
trinidadytobago,50779931712204927316414975312146221049507909019027880861836085823149352085016
turkmenistán,94962112960762782909173195283011241381420656473479324955435751552656623123151
turquía,57918652977126325998737069261369968513795365895672485053179905813080880638871
tuvalu,28657615519384285054726571639242074585594359315854454920590248405267227064398
túnez,16568381832405934111839118193716804707873681199237864133352639949292713047478
ucrania,72825996623055156763172234549593103209673593991392276221227227871788330332729
uganda,56886920387273027653093515068360382524794690193842457041995164285301930913140
uruguay,27109570575681741157164002324063378179764225560747638386150896889869263585589
uzbekistán,82074685088683932435589732434478342529219147070752068000883356713555495419799
vanuatu,55057485568586111038822812300137920559164652236157337152337895195520519564057
venezuela,19813940192588178443082244496847568312752518168494616196772613987106217342363
vietnam,34998899492856489406792623636544170243968030732688430526336335191742128362860
yemen,29378667588082676055642570800711073439279102161936657713332073261281172236167
yibuti,73046884204687452832375751914911105933164645226622814292166885542204939004588
zambia,108502124196631628941284519296847343042592720472270596687179197187714878683401
zimbabue,8380508444325238694740191471494661069516936569851745982938989317571654066474
