⏏⏏⏏⏏,111163682428445050339927005990109839851279373162658785356079073487328368515264
⏩⏩⏩⏩,6225247558675954491955595327060253226549445140846366613950273521892582216025
⏪⏪⏪⏪,80643580639407264593338608464652806949436810139600343414424958454099518992624
⏫⏫⏫⏫,25907264803774231494352386834527760598083930815265569303616014737660495844666
⏬⏬⏬⏬,28626415025546665915901863324362989669735184454677178130336877508325736178780
⏭⏭⏭⏭,26684175189557773134163026716542381172956233830276289002490626411590229275346
⏮⏮⏮⏮,78732824320584555153891241088693249014191076418592657360322645289850612563901
⏯⏯⏯⏯,103178238187816380738736074083670549564769229141583394776488409268394146994930
⏰⏰⏰⏰,30764728882479717860790671458346429603177759715067677439724796767474022833741
⏱⏱⏱⏱,57403067452949043452965474159317846225939300470025700783328659388443787321022
⏲⏲⏲⏲,5724338852259644980475938727702129943785534435315083443631801684598346350188
⏳⏳⏳⏳,16093044048388835828311855650968282684437945671728431565702946744494765393689
⏸⏸⏸⏸,111958894449236994732651837264628302046122368542981337332672346397264993613750
⏹⏹⏹⏹,80510037285674026170526633310018649151010694635247941474796282572538709446457
⏺⏺⏺⏺,102531116382787390143612909114223105361681108095071222115723757339867060479581
▪▪▪▪,43538873758257874114913015549394660529509146681293741040864684938278865272914
▫▫▫▫,17696844573544528241697217537973809151163185867322103927812810892690363843032
▶▶▶▶,76089604266106316910731431792434735317961993824273813924027824819160124929356
◀◀◀◀,43025732520280366841605758646762046162804509776793574836757043894882026898075
◻◻◻◻,7329277376008192310938129765882698616004934079210546251735416697452766728059
◼◼◼◼,88735472988055813284133384834912718324369906352869540874214762760391421200225
◽◽◽◽,59203115514776217357585675249110475523108730754309891954292146249012186436489
◾◾◾◾,15139477499314615818952950014432585457250316479563431779294516752674050558084
☀☀☀☀,45648099849196921185523620715593776489448429632555412928592010919620921872383
☁☁☁☁,60487776080150472721026096610341477358473054946080134080983182017859981684087
☂☂☂☂,84616131555949945515239756482269005785533232575578575366883321394526061353667
☃☃☃☃,10177702296286216461482207237902358617235449647330420774219878941483538064862
☄☄☄☄,98736727583972106747632747361578638712799782693190250640770807735370679645576
☎☎☎☎,100884024844567641172857629545872268833211753220254579934172099167466878412776
☑☑☑☑,27252083830629760904820943436351790330426102575640785944407941483151756256395
☔☔☔☔,36729771657706999833812047790625574775162327983594991937204413093934414605806
☕☕☕☕,87748799746862990152654281227464818138264058747032709486083140802923281395319
☘☘☘☘,60730195767177858014355106756159987572562636934615650670567477097313869861988
☝☝☝☝,72802244930388654428766865069150332802264733370035093793957170776460619767204
