boardslide,58706107465178261245196801366306454302292049698769536644478245617393842173591
bodyjar,108931029823800169737978198019059388287619856972480160148213609654035897165275
bodyvarial,40431422420346620968439696713624516746604874172809745107899471164041473975729
boneless,44041267716203160561545293301015293882746317891557977990037375224469912984598
bubbleflip,95973862449350555960239316767229493241521182876900403130170468566572818367847
bullflip,26948816098959156998048374451558017305852166554110246903522137865163344288042
caballerialflip,38759217264390902554290522007541441446700548346300874827409197998180822758830
camelflip,112521587372192383769736632301627582455600389013858870595718897534590907403515
cannonball,28275886371331777762654105852938853712548556746356245427529639684527459230308
casperflip,59029356142624243488079390655757532939501729507926881155469193174741722776521
casperslide,25889487100938815514412108627285689812445021294430770255431514348994165399440
caveman,98165466373413094689544773933694395038423533453186093903352551163540765163263
christair,51511349031359523456641924046897121519930839767967644975101061413372875733218
coffin,23976823924295933660737881022899288596536147585098899228585821104099133367921
crailgrab,17436217492322141079646075134513142110960440048129371127071014636216277542871
crailslide,87746714699173552183836351574591931416613345376902155821829671059821861273623
creeper,19254630609372339570376164151233403745963716821528141406979334599973810685239
crookedgrind,56803169841058277336279567981670673097964319194018805925784243377915905055147
crossbone,57061002192199215297805686736226879421717536363432439470824427866847342206671
daffy,15018280490039172363101843079452362921873303191833440399052406005232004873661
darkslide,86372502351699040964433163427334249052321297074132163554853182708324806810741
daydreamflip,74566047734824171220085526654095172553568007266037227506000193126707035310610
decomply,92505149445263321757827084934292626075511914419613176010774555801162390566174
delmarindy,78204718690451913932969729698296791618661247276124197963503293994661461197293
discoflip,40949068082167002459490094832095403589733725294065431554125095224825036108691
doublegrab,34698920121015450583797528910830630956443156455512834414532332384791033400634
doubleheelflip,2810329530099164146497636767411405249242366070755118793387956516370692548180
doublekickflip,32525737900781987423381907618028199428995633751244511462849850733869142459664
dragonflip,1812455185382054767332901124867759167493338641621384773256315911066580981122
drop-in,62612852467540866693363854568592506133022084529302005608409035730050639359174
eggplant,102339929630113769364516641757009692368732794658226041493353663005956707897118
fakie360flip,98833714369095951575343578490088857817223961853124979578830677880733871344960
fakie360hardflip,57335301188332035704949662884234266836497160687930945777386022591918377958290
fakiebacksidebigspin,105466626598301130945290652221455712426804590318660681977951336536837944184727
fakiebacksidepopshove-it,84820408620918800222536209244963391287244655344824882395993006613781691234019
fakiefrontsidebigspin,24707164823734182597009461809919436500903903355974309485582364211701068852792
fakiefrontsidepopshove-it,39838090011560843186677008906318061397659558026964455371291952241659953018704
fakiehardflip,52203133341144513505412551832484574857199005578597864729424344750062802375016
fakieheelflip,68932847361060110167434488171492195183823368834605378957050141653049202226123
fakieinwardheelflip,94560596096708834841761862678045209990614938675740402182167930567832989379618
fakiekickflip,40982690064064929791048549730160226856800138098719382827962859429489966984615
fakienosebluntstall,99278793090754031828261916582845118670982671667848802430070416768143224779825
fakieollie,61320015777274624146131316598940083583521317654640185469374736855111123618385
fakierock,34948093564666419430632299733408807783632274096766111713048145141172980471542
fakietailstall,84920950626597118433716658157181480505038918787339075909006022161677389532435
fakievarialheelflip,30800203807148117192817013127778453649687408263018486672213272600659594238235
fakievarialkickflip,49294844505600287073608048015212137655570984950611150457885564527012435734048
fastplant,108164422695103646935156560130787028483775162711869184669879027162024270421290
featherflip,75073817337481343593421572376676316860796745848575747015797614845244825724553
feeblegrind,56918762615057339420344287959040970576826913636727919752633515958345842177112
fingerflip,86781953586798297414706273131251384337304521097262387394790545079054546712548
firecracker,38571326972494956084736187942225373985809666287103603697384179594605260032893
flamingo,101047426912763351660249529886986483713227920711443161500032400391694994707002
forwardflip,26981460371977193547929666679417132913639096629726931973498099182309200772374
frigidair,71651933315970729989106558472448883148464745287335796758746175046010747092805
frontfootimpossible,31404598739710474997980472056821891928889713052989735159084613106655508580614
frontside180,77660151668449916400674203515825586314942329744178410350615844753057741434242
frontside360,66862691054097648087889349404475957379273345178139685277236721786074606021404
frontside360popshoveit,42303221640720698690049968584909333427354665684050282729775633458376662845648
frontside5-0,86264812469615261272477163133236705541440589865493853545609314113126380426365
frontside50-50,30773572714972290077469949193764678381188782587836953253552716435000525698917
frontsideair,88701938051804403227631850762409150481562699524027407703040233203369018163077
